Telescopio	Stumento	Filtro	freq_eff (Hz)	conv_AB
BLANCO	ISPI	J	239153889268166,00	0.938
CAHA 1.23 m	---	I	379182985563111,00	0.442
CAHA 2.2 m	DLR-MKIII	V	538125495530377,00	0.042
Danish tel.	DFOSC	R	467556061350887,00	0.196
ESO/MPG	GROND	r*	479005372568663,00	0.175
ESO/MPG	GROND	J	239153889268166,00	0.938
ESO/MPG	GROND	Ks	138712595355741,00	1.867
ESO/MPG	GROND	H	181531298012316,00	1.407
ESO/MPG	GROND	z*	333659571863265,00	0.442
ESO/MPG	GROND	i*	391613484226319,00	0.403
ESO/MPG	GROND	g*	624827184459544,00	-0.066
Gemini-North	GMOS	z*	333659571863265,00	0.442
Gemini-North	GMOS	r*	479005372568663,00	0.175
Gemini-North	GMOS	i*	391613484226319,00	0.403
Gemini-South	GMOS	R	467556061350887,00	0.196
Gemini-North	GMOS	g*	624827184459544,00	-0.066
Gemini-North	NIRI	Ks	138712595355741,00	1.867
Gemini-North	NIRI	H	181531298012316,00	1.407
Gemini-North	NIRI	J	239153889268166,00	0.938
Gemini-South	GMOS	g*	624827184459544,00	-0.066
GTC	OSIRIS	r*	479005372568663,00	0.175
Hale	LFC	r*	479005372568663,00	0.175
HST	WFC3	F160W	194376000000000,00	1.286
HST	ACS	F814W	374251379166008,00	0.439
HST	ACS	F606W	519183842998806,00	0.12
HST	WFC3	F125W	239688596575329,00	0.91
HST	WFC3	F110W	257913255883819.00	0.83
Johnson	RATIR	J	239153889268166,00	0.938
Johnson	RATIR	Y	333659571863265,00	0.442
Johnson	RATIR	Zg	325929600044531,00	0.442
Johnson	RATIR	i*	391613484226319,00	0.403
Johnson	RATIR	r*	479005372568663,00	0.175
Johnson	RATIR	H	181531298012316,00	1.407
Keck I	LRIS	R	467556061350887,00	0.196
Keck I	LRIS	g*	624827184459544,00	-0.066
Liverpool	---	r*	479005372568663,00	0.175
LOAO	---	R	467556061350887,00	0.196
Magellan	IMACS	R	467556061350887,00	0.196
Magellan	PANIC	J	239153889268166,00	0.938
Magellan	FourStar	J	239153889268166,00	0.938
Magellan/Baade	PANIC	K	138712595355741,00	1.867
Magellan/Baade	IMACS	r*	479005372568663,00	0.175
Magellan/Clay	LDSS3	r*	479005372568663,00	0.175
MMT	MMIRS	K	138712595355741,00	1.867
NOT	MOSCA	r*	479005372568663,00	0.175
NOT	ALFOSC	R	467556061350887,00	0.196
Swift	UVOT	uvv	538125495530377,00	0.025
Swift	UVOT	uvb	687962032168886,00	-0.095
Swift	UVOT	uvu	865800865800866,00	0.969
Swift	UVOT	uvw1	1153846153846154,00	1.591
Swift	UVOT	uvm2	1335707925200356,00	1.894
Swift	UVOT	uvw2	1556016597510373,00	1.930
Swift	UVOT	uvwhite	863706303658888,00	0.76
Swope 40-in	---	I	379182985563111,00	0.442
TLS	---	R	467556061350887,00	0.196
TLS	---	I	379182985563111,00	0.442
TNG	NICS	J	239153889268166,00	0.938
TNG	DOLORES	R	467556061350887,00	0.196
TNT	---	R	467556061350887,00	0.196
TNT	---	V	538125495530377,00	0.042
UKIRT	WFCAM	K	138712595355741,00	1.867
UKIRT	WFCAM	J	239153889268166,00	0.938
VLT	HAWK-I	H	181531298012316,00	1.407
WHT	ACAM	z*	333659571863265,00	0.442
WHT	ACAM	i*	391613484226319,00	0.403
WHT	ACAM	g*	624827184459544,00	-0.066
WIYN	OPTIC	r*	479005372568663,00	0.175
WIYN	WHIRC	J	239153889268166,00	0.938
VLT	FORS2	I	379182985563111,00	0.442
Liverpool	---	i*	391613484226319,00	0.403
VLT	FORS1	R	467556061350887,00	0.196
VLT	FORS1	V	538125495530377,00	0.042
VLT	FORS2	Rc	460968541103960,00	0.215
VLT	FORS2	V	538125495530377,00	0.042
VLT	FORS2	B	687962032168886,00	-0.067
WHT	---	R	467556061350887,00	0.196
