GRB	z	dhour	flux	fluxerr	filtold	filtnew
050509B	0.2248	50.0906	0.2476	0.0	g*	g*
050509B	0.2248	17.3447	8.508	0.0	H	H
050509B	0.2248	89.9113	7.759	0.0	H	H
050509B	0.2248	22.478	6.454	0.0	H	H
050509B	0.2248	0.37175	59.41	0.0	H	H
050509B	0.2248	234.995	4.406	0.0	I	I
050509B	0.2248	0.17581	92.06	0.0	I	I
050509B	0.2248	0.31108	58.09	0.0	I	I
050509B	0.2248	0.63008	5.798	0.0	i*	i*
050509B	0.2248	0.55656	15.97	0.0	i*	i*
050509B	0.2248	0.37175	71.79	0.0	J	J
050509B	0.2248	41.828	12.14	0.0	J	J
050509B	0.2248	210.995	2.109	0.0	J	J
050509B	0.2248	20.078	5.297	0.0	J	J
050509B	0.2248	162.478	3.342	0.0	J	J
050509B	0.2248	19.3613	20.17	0.0	K	K
050509B	0.2248	0.37175	98.36	0.0	Ks	K
050509B	0.2248	1.12111	7.898	0.0	R	R
050509B	0.2248	50.0906	0.5566	0.0	R	R
050509B	0.2248	192.133	0.3512	0.0	R	R
050509B	0.2248	0.00828	502.9	0.0	R	R
050509B	0.2248	0.01828	141.1	0.0	R	R
050509B	0.2248	0.06947	129.9	0.0	R	R
050509B	0.2248	0.20753	65.69	0.0	R	R
050509B	0.2248	0.00878	104.1	0.0	R	R
050509B	0.2248	0.02128	34.48	0.0	R	R
050509B	0.2248	63.9947	0.1287	0.0	R	R
050509B	0.2248	19.6613	4.672	0.0	R	R
050509B	0.2248	0.66133	12.87	0.0	R	R
050509B	0.2248	548.295	0.06753	0.0	R	R
050509B	0.2248	44.775	0.07405	0.0	R	R
050509B	0.2248	11.5	5.464	0.0	R	R
050509B	0.2248	0.34528	7.203	0.0	R	R
050509B	0.2248	0.72833	6.569	0.0	R	R
050509B	0.2248	0.63692	13.73	0.0	R	R
050509B	0.2248	449.945	0.8903	0.0	R	R
050509B	0.2248	0.10667	16.5	0.0	R	R
050509B	0.2248	26.025	0.2021	0.0	R	R
050509B	0.2248	2.35342	1.125	0.0	r*	r*
050509B	0.2248	2.53008	1.115	0.0	r*	r*
050509B	0.2248	2.70747	0.8777	0.0	r*	r*
050509B	0.225	2.1	0.75	0.0	r*	r*
050509B	0.2248	9.72417	8.185	0.0	uvb	B
050509B	0.2248	0.23583	34.75	0.0	uvb	B
050509B	0.2248	10.5218	0.985	0.0	uvm2	uvm2
050509B	0.2248	1.08667	69.38	0.0	uvu	uvu
050509B	0.2248	10.6799	3.113	0.0	uvu	uvu
050509B	0.2248	9.94486	13.89	0.0	uvv	V
050509B	0.2248	0.23903	101.5	0.0	uvv	V
050509B	0.2248	10.65	1.137	0.0	uvw1	uvw1
050509B	0.2248	9.8525	0.5861	0.0	uvw2	uvw2
050509B	0.2248	549.015	0.0386	0.0	V	V
050509B	0.2248	94.455	0.0386	0.0	V	V
050509B	0.2248	285.37	0.8064	0.0	V	V
050509B	0.2248	190.57	0.386	0.0	V	V
050709	0.161	832.8	0.02	0.0	F814W	F814W
050709	0.161	134.4	0.34	0.006	F814W	F814W
050709	0.161	235.2	0.17	0.008	F814W	F814W
050709	0.1606	447.19	0.02838	0.008013	F814W	F814W
050709	0.1606	485.556	0.9998	0.0	I	I
050709	0.1606	200.023	0.3019	0.0	I	I
050709	0.1606	104.923	0.5753	0.0	I	I
050709	0.1606	58.9231	0.5753	0.1164	I	I
050709	0.1606	29.76	23.86	0.0	i*	i*
050709	0.1606	135.49	0.9631	0.872	K	K
050709	0.1606	251.506	0.4602	0.0	R	R
050709	0.1606	29.6	7.294	0.0	R	R
050709	0.1606	27.5	12.68	0.0	R	R
050709	0.1606	177.149	0.7294	0.0	R	R
050709	0.1606	418.507	0.7998	0.0	R	R
050709	0.1606	466.886	0.9616	0.0	R	R
050709	0.1606	484.289	0.3184	0.0	R	R
050709	0.1606	28.4	50.46	0.0	R	R
050709	0.1606	159.441	0.2203	0.0	R	R
050709	0.1606	201.05	7.294	0.0	R	R
050709	0.161	60.0	1.17	0.26	R	R
050709	0.161	59.3	0.9	0.05	R	R
050709	0.161	34.0	2.34	0.12	R	R
050709	0.1606	44.385	8.276	0.0	uvv	V
050709	0.1606	251.656	0.5996	0.0	V	V
050709	0.161	104.7	0.36	0.0	V	V
050709	0.1606	484.006	0.3147	0.0	V	V
050709	0.161	59.1	0.64	0.07	V	V
050724	0.258	14.2	25.2	0.9	I	I
050724	0.258	83.1	0.33	0.12	I	I
050724	0.258	36.7	9.1	0.0	I	I
050724	0.258	12.0	19.1	0.2	I	I
050724	0.258	11.8	18.37	0.51	I	I
050724	0.258	34.8	2.81	0.33	I	I
050724	0.258	11.6	45.6	1.4	K	K
050724	0.258	34.9	5.4	0.0	K	K
050724	0.258	82.8	1.118	0.0	R	R
050724	0.258	779.2	0.4879	0.0	R	R
050724	0.258	58.7	1.616	0.0	R	R
050724	0.258	11.8	17.8	0.7	R	R
050724	0.258	35.0	3.35	0.29	R	R
050724	0.258	5.6	12.14	0.0	R	R
050724	0.258	11.4	16.0	0.45	V	V
050724	0.258	83.2	1.043	0.0	V	V
051221A	0.546	51.0	0.83	0.32	i*	i*
051221A	0.546	27.2	2.3	0.54	i*	i*
051221A	0.546	3.1	16.8	1.3	r*	r*
051221A	0.546	3.4	15.6	1.2	r*	r*
051221A	0.546	26.9	2.5	0.19	r*	r*
051221A	0.546	147.8	0.32	0.0	r*	r*
051221A	0.546	51.6	0.93	0.11	r*	r*
051221A	0.546	123.6	0.5	0.11	r*	r*
051221A	0.546	75.7	0.94	0.28	r*	r*
051221A	0.546	51.3	1.1	0.47	z*	z*
060502B	0.287	0.34222	1345.0	0.0	R	R
060502B	0.287	5.68	19.44	0.0	R	R
060502B	0.287	0.215	1058.0	0.0	R	R
060502B	0.287	0.0886	1345.0	0.0	R	R
060502B	0.287	2.6424	28.1	0.0	R	R
060502B	0.287	1.0	19.44	0.0	R	R
060502B	0.287	0.5922	1020.0	0.0	R	R
060502B	0.287	16.8	0.62	0.0	R	R
060502B	0.287	0.0886	1204.0	0.0	R	R
060502B	0.287	0.4675	1345.0	0.0	R	R
060502B	0.287	40.8	0.5355	0.0	r*	r*
060502B	0.287	1.1167	26.22	0.0	uvb	B
060502B	0.287	1.2781	2.656	0.0	uvm2	uvm2
060502B	0.287	1.4182	6.859	0.0	uvu	uvu
060502B	0.287	0.3942	31.05	0.0	uvv	V
060502B	0.287	1.3755	3.253	0.0	uvw1	uvw1
060502B	0.287	1.3497	2.482	0.0	uvw2	uvw2
060614	0.125	15.5	70.06	6.759	I	I
060614	0.125	15.5	84.11	8.115	J	J
060614	0.125	3.8592	74.41	7.179	R	R
060614	0.125	4.7232	81.59	7.872	R	R
060614	0.125	5.8248	98.1	9.464	R	R
060614	0.125	14.4	61.89	12.52	R	R
060614	0.125	42.72	15.55	4.948	R	R
060614	0.125	1.7112	74.41	7.179	R	R
060614	0.125	2.8512	67.87	6.548	R	R
060614	0.125	0.7272	35.62	7.204	R	R
060614	0.125	7.1	81.59	25.97	R	R
060614	0.125	0.6288	35.62	7.204	R	R
060614	0.125	0.5304	35.62	7.204	R	R
060614	0.125	0.4296	27.02	8.599	R	R
060614	0.125	1.4286	47.07	10.04	uvb	B
060614	0.125	360.0	0.4146	0.0	uvu	uvu
060614	0.125	1.5981	25.21	8.024	uvu	uvu
060614	0.125	1.3714	49.38	6.797	uvu	uvu
060614	0.125	22.2222	46.28	14.73	uvv	V
060614	0.125	1.6553	57.23	13.5	uvw1	uvw1
060614	0.125	1.3139	43.82	7.427	uvw1	uvw1
060614	0.125	1.5422	47.6	8.069	uvw1	uvw1
060801	1.13	16.0	0.83	0.0	r*	r*
060801	1.13	12.3	0.24	0.0	Rc	R
061006	0.4377	3322.3	0.4914	0.05743	B	B
061006	0.4377	3824.2	2.198	0.2569	I	I
061006	0.438	14.9	4.3	0.2	I	I
061006	0.438	45.9	2.5	0.17	I	I
061006	0.438	60.0	2.6	0.22	I	I
061006	0.4377	3705.0	3.135	0.634	J	J
061006	0.4377	3214.9	2.403	0.0	K	K
061006	0.438	49.7	1.5	0.17	R	R
061006	0.4377	3823.8	1.235	0.08225	V	V
061201	0.111	393.2	0.3258	0.0	I	I
061201	0.111	81.4	0.63	0.0	I	I
061201	0.111	33.1	0.91	0.0	I	I
061201	0.111	8.6	2.9	0.22	I	I
061201	0.111	321.0	0.3932	0.0	R	R
061201	0.111	4119.1	0.1565	0.0	R	R
061201	0.111	9.0	1.9	0.23	R	R
061201	0.111	0.96	18.05	0.0	uvb	B
061201	0.111	2.95	2.975	1.917	uvm2	uvm2
061201	0.111	0.91	9.146	5.893	uvu	uvu
061201	0.111	1.85	14.15	0.0	uvv	V
061201	0.111	12.7	1.026	0.556	uvw1	uvw1
061201	0.111	37.1	0.8153	0.0	uvw1	uvw1
061201	0.111	2.4	6.299	2.477	uvw1	uvw1
