# table with specified filters used
#1col: name in db
#2col: name of trasmission file in folder trasm (without .dat)
#
U     	micGeneric_Bessell.U
B     	micGeneric_Bessell.B
V     	micGeneric_Bessell.V
R     	micGeneric_Bessell.R
Rc    	mic.R_Cousins
I     	micGeneric_Bessell.I
Zg     	micUKIRT_UKIDSS.Zg
u*     	micSLOAN_SDSS.u
g*     	micSLOAN_SDSS.g
r*    	micSLOAN_SDSS.r
i*    	micSLOAN_SDSS.i
z*    	micSLOAN_SDSS.z
Y     	micParanal_HAWKI.Y
J     	micParanal_HAWKI.J
H     	micParanal_HAWKI.H
K     	micUKIRT_UKIDSS.K
Ks    	micParanal_HAWKI.Ks
uvu	micSwift_UVOT.UVU
uvb	micSwift_UVOT.UVB
uvv	micSwift_UVOT.UVV
uvw2 	micSwift_UVOT.UVW2
uvm2 	micSwift_UVOT.UVM2
uvw1	micSwift_UVOT.UVW1
uvwhite	micSwift_UVOT.UVWHITE  
F606W 	hst_wfc3_uvis.f606w
F814W 	hst_wfc3_uvis.f814w
F110W   hst_wfc3_ir.f110w
F125W   hst_wfc3_ir.f125w
F160W 	hst_wfc3_ir.f160w
